Country,groundwater withdrawal,ground-water monitoring,underground water abstraction,groundwater permits,groundwater rights,well and borehole drilling licenses,conjunctive management,groundwater protection zones,aquifer recharge,transboundary aquifers
Afghanistan,0.4638112490927007,0.4649562467683926,0.4253749345259893,0.46146405224717385,0.45100500079113726,0.37033299296465066,0.35451650314619954,0.400198433128437,0.3504241261373624,0.3350702785156525
Albania,0.4413333165886732,0.4430101399900287,0.3977729536916821,0.47555964030390124,0.4423252943507179,0.38141247142137547,0.34221231477706116,0.3974970349448061,0.32312795684232143,0.322096728492496
Algeria,0.43516075542753324,0.4293540678458289,0.39188700272490606,0.45395493712349294,0.43039465259884213,0.3762511718721507,0.3422805988137705,0.38621706916139775,0.3246607481436966,0.3184556407506344
Andorra,0.4097187821818848,0.39936876325939613,0.36045017460692763,0.43701001747464246,0.39271299754159394,0.36684565147182335,0.34089537480193166,0.3628699316230168,0.3077392652681274,0.2945815543553167
Angola,0.4371389030662967,0.42438962946886855,0.40459136628268055,0.46196419614616324,0.4514678713441575,0.3824656248897861,0.3471317642673801,0.3879962729578889,0.3265302057408522,0.32241478076111824
Armenia,0.45403493975819,0.45567850245531505,0.4069604891868841,0.4826568248045716,0.45293053439320896,0.38831891508830524,0.3506554830823942,0.4032119482501292,0.339043803976382,0.320352194151284
Australia,0.38403811178639563,0.3807576480907177,0.35871589376972846,0.4110268123462903,0.37075955061497334,0.35450263094742474,0.3568062920391985,0.3249580885025055,0.31213844575911376,0.28229877169180967
Azerbaijan,0.4403356292155891,0.43487415298441523,0.3982212187713717,0.46802087628683503,0.4586384941213053,0.3719267191678602,0.3081976685212225,0.41894911276822133,0.3381140653494856,0.3308866875585115
Bahamas,0.3808395204509637,0.3622384990608841,0.3315386265066138,0.4006889277663941,0.36278877682951177,0.3467478641576249,0.3602293905221695,0.3007516484424754,0.30140598980367683,0.26415614036607976
Bangladesh,0.40096629601970984,0.3868420088977832,0.3658232267734175,0.41670741999199834,0.3857947436734065,0.35935594583336405,0.3539773596448005,0.343460932069905,0.31305594513424834,0.2944023283625009
Barbados,0.3662014974809287,0.3505874487954125,0.31529064648888266,0.4004884707722828,0.34343983032630127,0.358494206516309,0.33739015294344255,0.30478892085576026,0.300779289658197,0.2470261304384117
Belarus,0.48438833541359977,0.4884533583674998,0.4449085245542084,0.501407016892743,0.4779287648719543,0.3927040172284353,0.3438428798196448,0.45049792394582866,0.3369005285921041,0.34858264648727866
Belize,0.3993050648978105,0.38738204311312974,0.3442819328928292,0.45117848980744235,0.3882711129229938,0.39935665305715307,0.3240399876383137,0.3363546996933564,0.3138693746270351,0.2760508077645925
Benin,0.4198199622855367,0.41968144124683904,0.37405333351343667,0.4404049281438549,0.41153407676535353,0.36554213075661496,0.34166898147636077,0.38127202092501083,0.32640841818027017,0.31444467952406746
Bhutan,0.40370028103812394,0.39644702602196663,0.3776635962602736,0.40808637284009225,0.387958866720274,0.3366980914900163,0.3338909258394792,0.352031444777796,0.3112380182354483,0.3140224107159695
Bolivia,0.3974053793969924,0.39130838694526415,0.3523647435384264,0.43587850793449456,0.3933582627181541,0.38838161515018693,0.3523766504069966,0.3575996003821455,0.31852679422454244,0.28408236879009036
Bosnia and Herzegovina,0.43750277631017526,0.4376435130422552,0.3926949242465909,0.46370480069305053,0.43100226536952624,0.3637140375409439,0.33479338534105796,0.38980807314383353,0.32739478291988117,0.31613376354213224
Botswana,0.4395242693062245,0.42560915443426,0.3977517947109524,0.47814157440768423,0.47789181312364376,0.38237142603472263,0.32998826917558055,0.3650779653233787,0.3246698910766388,0.2935508684872271
Brazil,0.4455324114965981,0.4336065372935726,0.404456376316714,0.4606973854242598,0.4584806363346555,0.37458664333085884,0.34538608834918805,0.39200893784690843,0.3386291131081727,0.3229340183849053
Brunei,0.4297905652663736,0.42498865653624646,0.37796065786571326,0.46451536483106903,0.4239868158615661,0.38919570252427965,0.34177525059442515,0.35579916647844867,0.3304948886723835,0.29206828317264905
Bulgaria,0.4167395845922383,0.4174854255226324,0.37504105627647644,0.45046984366756615,0.4072481620408159,0.3768493806067389,0.3532382305513873,0.3726144003123089,0.324576795402226,0.30062007330451335
Burkina Faso,0.4303291954373592,0.4245840706434392,0.38482515488854363,0.45171057325755964,0.42482836656975825,0.35781809915031076,0.34568482995722033,0.39019914363323327,0.3254567590239706,0.3133601239269211
Burundi,0.4470925738442616,0.4390419852458699,0.4108312475822119,0.44879435118182415,0.43825445620834197,0.3617646760594532,0.3575025784656918,0.3980251791540621,0.3313146838487417,0.3233795161923076
Cambodia,0.4337854383257591,0.42830688441065545,0.37639555016709547,0.4653144877276192,0.4346792912774171,0.40705636129124473,0.34829738081650563,0.3800266176408678,0.32174599538437865,0.31193614504743616
Cameroon,0.4166464911687011,0.40801065507945183,0.3701283494251375,0.43832497399834874,0.4077124046686641,0.3634794136989194,0.34935313330359713,0.35555833457554487,0.32608311170009524,0.3058718082405086
Canada,0.3540193505988494,0.36105980339341964,0.32710007329957536,0.3952822534447377,0.3559130219231888,0.3310346593865618,0.3540132819095198,0.30604784855746353,0.29379575577854367,0.2806522050522483
Cape Verde,0.4117008411845848,0.4060556650624004,0.37475306905219036,0.4290389769540799,0.40237377554243264,0.37012943339971616,0.3541375090476065,0.35646316719520166,0.31676311108814986,0.30040185558383503
Central African Republic,0.43610574716570416,0.430632989960549,0.40153799083175457,0.44884224267010064,0.42867425375061124,0.38068915725168656,0.3517449097100859,0.38771464649997367,0.3244052051329509,0.31851973811953216
Chad,0.4271031189103333,0.4078763187534211,0.3896097139972542,0.45275405068277014,0.42741740839279796,0.3845029241962871,0.34187143422888816,0.37221667861772606,0.3297238450938673,0.3160822691948219
Chile,0.4128403267757,0.39893119117429787,0.3719131810807609,0.43404739753749755,0.4248002893537213,0.3689478401570605,0.3431771406742648,0.35391025753509836,0.3225820407458217,0.303110716822555
China,0.4639215896009965,0.4586370500707555,0.403675383175664,0.4747259911369503,0.4572828876090733,0.38229055629675396,0.3559790968521828,0.4213548842728979,0.3359033690377134,0.3287349581338789
Colombia,0.40826118784372917,0.3982270195813679,0.3561763596244663,0.4362702072582258,0.40667544438415454,0.3778760251625585,0.3499403599959426,0.3767300300629308,0.3094604214168355,0.32317663824207377
Comoros,0.436579487033314,0.43862467367152086,0.4247393903797894,0.4458293110183476,0.4200341006895037,0.36377178228555734,0.352632146700274,0.4040116462610626,0.3449257921704001,0.3372893492946821
Congo,0.4103780622806893,0.4020011249800655,0.3861955203031086,0.4344965239475516,0.4136793198905082,0.3674961457218169,0.34340258204247115,0.363119624047029,0.3252821759243959,0.31211700972692025
Costa Rica,0.4136236346371494,0.39044264819200436,0.3658407437473254,0.439970588286372,0.4178128107959795,0.3711183556091173,0.33252427497295595,0.3598948629069747,0.3193432505612867,0.3189978515379961
Croatia,0.44074629627114503,0.43496971626571695,0.3842630810477281,0.4638859975341513,0.4357508689396934,0.37131095822420424,0.3416495773668563,0.38839657273440387,0.3185925807172399,0.30637384014552144
Cuba,0.4603577350190018,0.4602763313587232,0.4250663611963424,0.46034091466377236,0.44882768205873685,0.3779597708895802,0.347304566201499,0.4128246912383452,0.3422418129669737,0.3411959003253264
Cyprus,0.4165269678025268,0.45273894294808587,0.4024505047227098,0.4415974856694573,0.4043734199377714,0.35538146812983246,0.3561584108524764,0.38257252514233764,0.3308446957855524,0.3288368231199044
Czech Republic,0.4199150348449104,0.4270675698183653,0.37193538857633246,0.4597264524726141,0.4157276682219994,0.3832666103451561,0.3479570523476004,0.37788157939974043,0.3289768646375975,0.3135985160470487
DR Congo,0.4283569406265138,0.41699293120019437,0.38886816122334267,0.44411089560661965,0.4262749718591341,0.36565439559312457,0.353915390052182,0.3792260407206634,0.3246727454707904,0.32195347279592146
Denmark,0.40845961354093835,0.39852419495927266,0.3678790208573313,0.4449637170439683,0.3970720045949907,0.3641827825895948,0.35288763627767583,0.35095415278121805,0.3255418348306238,0.29536241876374464
Djibouti,0.38650317000802625,0.36166208572431524,0.34315525250220746,0.4266116667528405,0.37546640459378783,0.3858983991870595,0.3306444338680372,0.3157360255474695,0.30135809977860323,0.277788049500006
Dominica,0.3969271499106918,0.3760183529686162,0.3308631576327181,0.43349458592192464,0.38669099631029424,0.3722200253831389,0.3389274909764071,0.3175494420377644,0.3125922145181684,0.2612176323159928
Dominican Republic,0.45023144023415196,0.43431014693264447,0.3931573164269333,0.4768794837201533,0.46205619507915313,0.39951817852401106,0.33436144726592765,0.3953223540729782,0.32769063450010194,0.33513713733689693
