Country,groundwater withdrawal,ground-water monitoring,underground water abstraction,groundwater permits,groundwater rights,well and borehole drilling licenses,conjunctive management,groundwater protection zones,aquifer recharge,transboundary aquifers
Afghanistan,0.347157673375283,0.33828199562669925,0.357480638691137,0.3715424649182989,0.36550585902341426,0.288164753275577,0.24711070843750077,0.3351305341933828,0.30964199189443486,0.30973416746877214
Albania,0.326274597873492,0.32697266147852183,0.32811538663715,0.38244149364942426,0.3459741698893715,0.3053006683978635,0.23418539562975726,0.34567105552724087,0.27948715482404923,0.2904919728244882
Algeria,0.3266513517537396,0.31058723895759793,0.3283855596227382,0.3653457006347919,0.3493712548572426,0.3033269558420124,0.2330014634326124,0.3318748051906252,0.28664047382263746,0.2837624867738511
Andorra,0.2812582449024271,0.2733697384919317,0.2782511171962821,0.3302061452839936,0.28873486957399846,0.28290353028264115,0.22333369227754643,0.3018789077756262,0.2380558086065059,0.23890289711750157
Angola,0.33007394893259473,0.3028494694520468,0.33088282697605353,0.37400194190288405,0.3754185884399289,0.31093617364061354,0.23479902980587875,0.32696138996078367,0.2849149692787576,0.29034287485278865
Armenia,0.3366001062424716,0.33093774039696516,0.3327193760003567,0.39068290496778874,0.3572605170924017,0.29698760096689425,0.23780112962306382,0.3374807959931533,0.2876435497486053,0.28146633492008666
Australia,0.26061603758135327,0.2531089923877727,0.26438952794515597,0.30539762829987904,0.27280771127785763,0.2617326968089337,0.23311575158626757,0.26502502853560367,0.23157787644430838,0.2275939400373147
Azerbaijan,0.3309063195720439,0.31493076482772475,0.33844961503699017,0.3721420406890611,0.3655726038180865,0.296451449996638,0.20745098496561354,0.35470587729785735,0.28827264756041504,0.3015158727220165
Bahamas,0.2556528959500841,0.2363951912627856,0.24239205534110678,0.29363858278802313,0.2601795901127768,0.2683441526702073,0.2376370656452576,0.24467725448771488,0.2208669541598533,0.19698529420020058
Bangladesh,0.28318379167294344,0.2624981482389802,0.2799942233693381,0.3140801140856944,0.2907771794529406,0.2690956710872036,0.23764877001539936,0.2905062298760309,0.23870119540796236,0.2363104027268051
Barbados,0.2453113553180571,0.2315098733537641,0.2343353390311412,0.3066373553457219,0.2506102321072787,0.298810033211356,0.2201361003758285,0.256524932583033,0.2173048833609108,0.18782772615796128
Belarus,0.3638041897825046,0.3592195627390402,0.36728827345924003,0.39431083051234905,0.3680310854980605,0.30726574218392916,0.22408835163522162,0.3789272459630085,0.2965665581838059,0.30344148517100894
Belize,0.29426000475024916,0.28182431850560397,0.2891808588720177,0.3690782132801165,0.31218584821391,0.3424276762209291,0.218565544232793,0.30306558120997595,0.25421370035552915,0.2395319445497419
Benin,0.3105775939915218,0.2984837548202106,0.30855137490488266,0.3487998837896115,0.32670197924093924,0.29220081779013607,0.23625074247622818,0.33374766212431795,0.2707016451486636,0.2762883121736836
Bhutan,0.2795311517473983,0.2740073784179277,0.28697842735334306,0.3055879385763889,0.29245727536275257,0.24893184784756964,0.22670357167353997,0.28606537521867026,0.24071712407116666,0.24565540040048947
Bolivia,0.2785797464956514,0.26572454663702627,0.27285972093395117,0.3360038587309437,0.3048009340064589,0.2946448931569765,0.23829445778186123,0.2918171805959753,0.2506979129716301,0.23966985687064324
Bosnia and Herzegovina,0.3214372227463361,0.3192900557884609,0.32519262477285305,0.3654655528537093,0.33633505401027924,0.2824692732986677,0.22922666298329114,0.3421633656488732,0.2770840426719673,0.27861082330029513
Botswana,0.33879158216909927,0.30761330555375127,0.3437160677703612,0.4023500179592717,0.4217722320312808,0.3361578699285032,0.2140152589962286,0.3207810580526309,0.27990547286383743,0.2670413136867505
Brazil,0.3248692701010114,0.3018763779336525,0.3212256237905968,0.3620506876085906,0.3595685963221825,0.28412511017012687,0.22954444448958908,0.3182712335100316,0.28578581478417187,0.28747960808951617
Brunei,0.3206658102894523,0.3009613736438803,0.32013568894472144,0.369014865152069,0.3365455810856461,0.3195796128675211,0.22035775629056806,0.30081270256386883,0.27327586953822747,0.24253671002978644
Bulgaria,0.2777747495321278,0.2752870171719336,0.27469251386620575,0.3300638900309281,0.28576488806518463,0.28087095137596774,0.21812723523211322,0.2971458346280218,0.2331763133787876,0.23046579955344487
Burkina Faso,0.3234880301083974,0.3065569591383766,0.3251953716356405,0.3652920479436551,0.3433761179214253,0.29172592944352593,0.24407528573795378,0.3449934929555165,0.27857892239151627,0.28337262384745804
