Country,groundwater withdrawal,ground-water monitoring,underground water abstraction,groundwater permits,groundwater rights,well and borehole drilling licenses,conjunctive management,groundwater protection zones,aquifer recharge,transboundary aquifers
Afghanistan,0.209210857158915,0.20292076775033493,0.2731209076931118,0.241899142167558,0.2582957843989578,0.1188585941183382,0.1111728806346262,0.21203111848755074,0.23760509191925586,0.20677497701498218
Albania,0.201175594674569,0.1976861050725164,0.22580658038495663,0.2757880072610645,0.2468444698423309,0.16075286528934762,0.09735633225392899,0.2389154104175611,0.19760492511803404,0.1921468331812158
Algeria,0.1922376413481562,0.17610230782389047,0.20975768101352454,0.25368709831622627,0.24525027171123698,0.1517969562082658,0.08423724194064283,0.22325965787199228,0.2033713874377193,0.178061702753661
Andorra,0.14377312912558446,0.12134271492075879,0.13768458653346569,0.20158748631619508,0.16603733462613182,0.1188788244900144,0.06808567784265487,0.17618973728271534,0.13330907190369617,0.1249216731502429
Angola,0.20839541206975087,0.16789337976061433,0.2155788223796023,0.26668423518871254,0.2829301340183515,0.16169849897816893,0.08698062411557834,0.21797407465752452,0.2104263698230359,0.19404775851435166
Armenia,0.20673107746010252,0.2038415308832157,0.2285848652588747,0.2787095608512186,0.2495013967238297,0.1288951983054215,0.1066233880441179,0.21840625632683655,0.2048176905007764,0.16871784873418907
Australia,0.12073671921629274,0.09845192475243807,0.13328765344092192,0.17501112706938285,0.14236318902039224,0.10329151413288283,0.08518792423422614,0.15116967355364697,0.11440620510097152,0.10619400878626156
Azerbaijan,0.1925830098763743,0.18621100571572727,0.24213060645538356,0.2499205832296819,0.2602750304611106,0.13914014762932486,0.0616135967660164,0.24597363356993796,0.19984059893603626,0.21029565179530876
Bahamas,0.13327665322821391,0.10118153114488161,0.09688028247916042,0.18162521141142282,0.1484564519459839,0.11539931873671874,0.09942554702720206,0.12804666844721516,0.11868931521385857,0.07283191304855162
Bangladesh,0.14488304706470925,0.11545277887289787,0.1380122871865372,0.18407003399837404,0.16997336222404305,0.11030537296911763,0.09520561822974681,0.1819914663459653,0.1186475755705734,0.10611585812810079
Barbados,0.10761794855423631,0.07553878781353618,0.075333757061996,0.19920713763182096,0.12751747359545432,0.16447181874943756,0.0691195813618502,0.13506609130465197,0.09286672452440471,0.06186638094011542
Belarus,0.24057707809929477,0.23917083168930484,0.2783929307882423,0.277491238667748,0.26668289335342477,0.1535521536848903,0.08076002496319505,0.272488277648217,0.22129120954528458,0.20879536207674418
Belize,0.15829779479742395,0.13877729806437225,0.14950851126657336,0.2705075240143888,0.1936621472607081,0.21716162458110733,0.05299891193081614,0.18822358410062628,0.14437514547517868,0.12057223418681035
Benin,0.16698812046177194,0.1481822774075796,0.17893005571226503,0.2248783945070644,0.21430717878405936,0.13098465846235005,0.07992213895435601,0.22520032539626214,0.15785649845406038,0.16002897270409547
Bhutan,0.14323381936497995,0.13828274566868204,0.17245913256146178,0.18009591889332374,0.18807626635206445,0.08517075497214599,0.0834327858708653,0.17070977826277187,0.14140681859795437,0.1252201424813978
Bolivia,0.15926838252165695,0.1327273376524235,0.14085317069325556,0.2255503843430101,0.20756639631878918,0.13246193231825537,0.11707097288945302,0.1879235593361455,0.17229685953598736,0.13287062604805452
Bosnia and Herzegovina,0.18237457418659286,0.17422499227911797,0.2197703627606573,0.24762230948097286,0.22356412706511825,0.12147189656910973,0.07833739230924151,0.22806076726359023,0.18293472386979043,0.16508567417212267
Botswana,0.211587057554416,0.17754050605130567,0.2304899435072913,0.29943984325339207,0.33645247042688714,0.190146218379282,0.06851000608663668,0.21862167469088428,0.19874774422666086,0.1669120966560864
