Country,groundwater withdrawal,ground-water monitoring,underground water abstraction,groundwater permits,groundwater rights,well and borehole drilling licenses,conjunctive management,groundwater protection zones,aquifer recharge,transboundary aquifers
Afghanistan,0.2727793177981167,0.25931577751277685,0.2859869321468082,0.3130970191636374,0.28303281284655235,0.27661282123317965,0.1805238408315178,0.2865165203126063,0.21256795870644896,0.2527668578228086
Albania,0.25279538796338125,0.25068262258952867,0.27335293941463007,0.31053560233394667,0.25598915805731526,0.28067934761559754,0.1646613759015902,0.30259984502195525,0.19535630922527736,0.2385247539202333
Algeria,0.25938033619721884,0.2380505472480483,0.2828860094151181,0.3015772055434004,0.2737640636897978,0.2867948657612168,0.1544115325395608,0.2866233238869268,0.2086510614926051,0.23112800086065002
Andorra,0.192649140569696,0.19493118193890063,0.22121264841208965,0.25336844479753673,0.2003870152929103,0.25165528435030393,0.1329792075386688,0.2512710820209697,0.14537004248530078,0.17428500477208503
Angola,0.24383855784763678,0.2179078222486005,0.2663250736405523,0.29706085188712916,0.28485523159986925,0.28092479005093607,0.15270304077998356,0.2665426929975081,0.18762381612205298,0.22749020663002348
Armenia,0.27039437816241363,0.25633222334286476,0.27823567648809105,0.33340266971992816,0.28167201623762406,0.27966548415336784,0.15953804424775903,0.30036274178558087,0.20067282435748088,0.2351435443270633
Australia,0.18561632961772637,0.1894656336376154,0.20569906221232043,0.2448614643708637,0.19913320079378946,0.23982306447127247,0.15090517697264494,0.22138858412465054,0.15063874555888424,0.16741090828270788
Azerbaijan,0.26351558105165396,0.23731904405285525,0.28347073364726827,0.30939784104303153,0.2781260086587091,0.27700452674973564,0.1348289607777263,0.3015083176161326,0.1988994108302454,0.23529623859940296
Bahamas,0.1607879151764812,0.15287531332066415,0.1814721960597092,0.20720682889993192,0.16288521361125616,0.24427828337056887,0.14273837751556886,0.19117017936172295,0.12681372828903098,0.12273096276343888
Bangladesh,0.21175670872283808,0.19117998226220653,0.22959425069632522,0.24751287470035044,0.20875460939149826,0.245370752677149,0.1596374548863148,0.2429391411518059,0.16029183363377342,0.17800646099701026
Barbados,0.15827103032988113,0.1568974956603108,0.18489085541945294,0.2207683317304812,0.15590504311683673,0.2731067130955924,0.12676331953274061,0.20814742592989963,0.12974881097094226,0.11326571716760457
Belarus,0.30128059385251993,0.2876656549772083,0.3125475998227696,0.33505907382740663,0.28322860123104,0.29228636824140153,0.16384856353930666,0.3338195382656244,0.22309783508363978,0.2506890061252072
Belize,0.21737128940391962,0.21221591060465125,0.24624481075988158,0.28864763757968037,0.22736581786699026,0.3105583372459873,0.14945802633159935,0.26225076771165884,0.1738516569055495,0.1870835420524308
Benin,0.2321703084986499,0.2181100018386049,0.248815818538307,0.2739619123781527,0.23793686409795908,0.26312731353165186,0.15306636166764587,0.27247977966696263,0.18344091423466125,0.21553531859598707
Bhutan,0.17865258455031927,0.17996224637927072,0.19645527324484213,0.2127710997198443,0.17822505287764373,0.20727320087218137,0.14686176395867814,0.2142852949716544,0.13424020879818996,0.1625220848394773
Bolivia,0.19884082578591225,0.18977697216170025,0.22620933685305517,0.27083634134765755,0.229754872461046,0.27506985686573515,0.1414798551283547,0.23646139182295609,0.16373947057720423,0.19690546812691842
Bosnia and Herzegovina,0.26363955702130704,0.26137472929594374,0.2788259316793496,0.3023792781385014,0.2586269806796977,0.2667576621390973,0.17312802652108505,0.31521947439461945,0.20258475977822574,0.23515675692039573
Botswana,0.2519789655164045,0.21808386536026128,0.2880762213365149,0.3286588000318349,0.3255233190865455,0.331698308682097,0.12017284065736315,0.26942286044754665,0.17693057585531322,0.19980709276133787
Brazil,0.24631692270262467,0.2227630016087635,0.25237020260221665,0.28999424428348103,0.26599216907231943,0.25323691060966175,0.16732849172841727,0.2601368008685939,0.20191967471279262,0.2355140614908838
Brunei,0.23766311654958344,0.21028694408962145,0.273794973475627,0.28970501231141876,0.24832056115829385,0.29209534657880903,0.1238959953842907,0.25543561599879044,0.17669574799480078,0.17359663841385486
Bulgaria,0.20007170475259153,0.20255458126674553,0.2220587330510795,0.24742692858225573,0.19506586930290953,0.2563036479765788,0.13796130104441234,0.2490446467429327,0.1437959066283149,0.15856863973288646
Burkina Faso,0.24769001549040556,0.23181633762597287,0.2651414216636313,0.2924438207419975,0.2502357340991593,0.27070129315657065,0.17245880839423308,0.2874010712152987,0.1902791449416717,0.2300562636160474
Burundi,0.2710413632704469,0.24802069481486927,0.28708258124979685,0.3016028136021758,0.2754249623909364,0.278563709859622,0.17421412236264172,0.29621715568339413,0.20940617088056285,0.2432073275592988
Cambodia,0.2642832486398146,0.24200422678138808,0.2794410270788225,0.3133590372017353,0.29167591912538754,0.3022672371958932,0.15347742222340713,0.2778642654346602,0.197351740247739,0.22427293633154044
Cameroon,0.1905904959965588,0.18308995513353105,0.20995350413211594,0.23824783070914857,0.20683518454118655,0.24086639994015724,0.13175042488672356,0.2266776662044801,0.14605935548599286,0.18859562850290904
Canada,0.14114110429299068,0.15057854906512405,0.14760236961025155,0.19192540985695952,0.15880240799761572,0.19466366818463857,0.14279155700359483,0.1892824391307075,0.1305633829707483,0.14133386270535298
Cape Verde,0.22353906151614822,0.21077456523056654,0.25002683977613677,0.2709548607714594,0.2512458309093623,0.2599090029511961,0.15503414968776938,0.25460367510247683,0.17665513110443554,0.20722403101339992
Central African Republic,0.2504122312508895,0.23301089221451457,0.2713339912106538,0.2899324439888251,0.2607566046077425,0.2790113328613803,0.15861951874049404,0.2818120359383073,0.19719069499606756,0.22769288621637188
Chad,0.24345046926521424,0.21258570390613904,0.26809714223001047,0.2994175305164926,0.2764508629022069,0.29205601431584877,0.1393905614588803,0.2618797855315764,0.18263530236720238,0.2176730043185016
Chile,0.2087700227827077,0.1845457531207793,0.2273981180332632,0.264693959217506,0.2568918012113768,0.2513170185843243,0.13069272944951413,0.22485388220143318,0.16827711310470983,0.19293551075827614
China,0.2657359442325923,0.23288551175108166,0.28046942363646293,0.29377639060435673,0.2641445822100851,0.24814777144455824,0.17722234058405062,0.2880934495220338,0.19952327665486363,0.22154069758872222
Colombia,0.19445623104303483,0.182408207778273,0.2145887043242281,0.2598572862208558,0.23107487608890326,0.25295943304092366,0.1545771435081117,0.23909760525601387,0.1625730867428531,0.19974348460052568
Comoros,0.2657237686792583,0.26762393399941115,0.2989051800030273,0.3114250628818924,0.274781744755035,0.2760149080073866,0.150080445572305,0.32362188656808977,0.2060056648608947,0.23944306406480292
Congo,0.2238255251030784,0.2032098275912002,0.24939622299409359,0.268084436232559,0.24239502788595674,0.26706497388741274,0.1468925974690896,0.2523628546649449,0.16767629708954684,0.2001812635187678
Costa Rica,0.20629796464876404,0.17139090121896242,0.2271366030256997,0.2655734693761579,0.2665545918426978,0.252264530795962,0.13011890775292836,0.22473604952728757,0.1675605464814955,0.19935256919141495
Croatia,0.24758155191983477,0.24163465371752657,0.2658256198831197,0.2964095956413293,0.249316937196365,0.26759739208983757,0.15884034347787843,0.2899050330495355,0.18769232701830801,0.20619613292186895
Cuba,0.2648021195669569,0.24637240637665941,0.2835981387810341,0.3057714544800443,0.2785776691360452,0.27231738553579327,0.1605573202975173,0.2949223989824492,0.22176057884696945,0.25566017983728656
