Country,groundwater withdrawal,ground-water monitoring,underground water abstraction,groundwater permits,groundwater rights,well and borehole drilling licenses,conjunctive management,groundwater protection zones,aquifer recharge,transboundary aquifers
Afghanistan,0.4428292694513995,0.4259351904752928,0.4454397803986387,0.46970964609482624,0.4696898380570098,0.3868546047861397,0.3422296091376596,0.4417760648449371,0.4379707908146725,0.44432455652164543
Albania,0.40979409226734465,0.41651177826201363,0.4155290730573311,0.4678827246987849,0.43873775730712217,0.39835798926513355,0.3325115595864488,0.4436719317246411,0.40185942811056424,0.4091995757040076
Algeria,0.41982667404205043,0.3988420329126241,0.42901154533740415,0.4521635615560482,0.4480760314290936,0.3984648295264164,0.35107648043647577,0.4313991698421841,0.40987869821652884,0.40740460273045886
Andorra,0.37889192773254343,0.3778362938486715,0.39365705923264555,0.4288586325476004,0.3958021308353578,0.39423436081842306,0.3513745089269305,0.4171848801758031,0.3658048547688994,0.36182335619236167
Angola,0.4309229227466946,0.40120704633010396,0.4370360456013791,0.47029848438953137,0.48242111679733773,0.4186557806435633,0.3523806900605731,0.43533251923021316,0.41507948542908946,0.41741875350566143
Armenia,0.41524002958918027,0.4078987049064652,0.41709647306757713,0.4679625644954366,0.4449381210149442,0.3910708063204825,0.33438760311798427,0.4279422376100666,0.40603988015978193,0.4016517524678103
Australia,0.3520729897049985,0.34376076307031955,0.3598555023576531,0.39069110941297935,0.3789749046822757,0.34931357768415494,0.3395636130990008,0.36258376796161174,0.349128109358264,0.35447207138847997
Azerbaijan,0.42719105814455843,0.40131885655790145,0.4299759012739373,0.46122886219669634,0.4652508820312208,0.39773440643963126,0.32516371379748904,0.4523924452371377,0.4162365151258928,0.429584912934843
Bahamas,0.3477074949446776,0.3292854215247127,0.3596771163189437,0.3850333630743438,0.3665879180643555,0.3669511444159166,0.34815494751609016,0.3587405216994461,0.336558783332847,0.32822216062273224
Bangladesh,0.37512911488451695,0.35651782292303336,0.38654712882107267,0.408030127652055,0.3985860025228149,0.36135061286918385,0.34177464730073537,0.3936333799364475,0.3628094272932544,0.3667169634196085
Barbados,0.34915494490718224,0.343015761145797,0.36182609715423336,0.40608548124830274,0.3755785813905226,0.39916739448408534,0.3472713476652807,0.3780972922418204,0.3458247082900992,0.3291526760857135
Belarus,0.42897075176460436,0.4215884059221478,0.4333040386717399,0.4632859926614986,0.4442840825358231,0.3905204295809896,0.3079019382187402,0.45890324399236404,0.40497665951419537,0.4056989259948059
Belize,0.4020658699018427,0.3889220222402626,0.4166881805687869,0.46597920171895446,0.43944431480494783,0.4426340899994689,0.3477652510304429,0.42543327333426245,0.3847586244143534,0.3744211941951339
Benin,0.4233319847201286,0.40796129878781895,0.432406291855522,0.45595430012937405,0.44302979731638503,0.40914916840992754,0.37034548780655036,0.4560385225090364,0.41510074972566313,0.41514427787058467
Bhutan,0.3925379220361701,0.3813374956017916,0.4013357073467947,0.42139836285229554,0.4155689155010281,0.3665853440559352,0.3426288110251372,0.4072349828624587,0.3759834506530742,0.3808569635651134
Bolivia,0.3588043982780442,0.34908548978871723,0.37201163265106774,0.4117502012986125,0.3885242045278464,0.3826661682937287,0.34225035270264065,0.3852841708426543,0.3482285275487865,0.34482096451750976
Bosnia and Herzegovina,0.4022319834672694,0.40391698853652697,0.4094792804048145,0.44815582310231267,0.43214684292677485,0.3779334969455199,0.3306478477617802,0.43556514779344985,0.39542190411997213,0.39806709856653005
Botswana,0.45207603629935217,0.40921969636917827,0.4585463115266861,0.5031598541441757,0.5472213254880466,0.44041552661791133,0.3373899200653342,0.43000173174871426,0.4192736802967369,0.4078951968423506
Brazil,0.41545290221888576,0.3943447795520125,0.41221629331410736,0.4541456955730968,0.45671364163175526,0.3741275051535425,0.3258163683107917,0.41213118219400774,0.40133124349973703,0.4172213279906684
Brunei,0.41197891381401025,0.38513407303169134,0.4337161851755948,0.4570397997753109,0.44550072170034277,0.4123968769474343,0.34125355376585514,0.40903461398931196,0.3902545308946868,0.36981755750950623
Bulgaria,0.34462568449415626,0.34390954296359844,0.3534000094800216,0.3880897940057314,0.3592338613005009,0.3469252916793145,0.310250204218739,0.3673110261554526,0.3342323513083409,0.332481977774442
Burkina Faso,0.4290785789484205,0.40741302536221996,0.43773037643968693,0.4681051738299647,0.45613876698789935,0.40807054980319335,0.36251407920011836,0.45861701968216884,0.415475487924263,0.41712657269115266
Burundi,0.4239558112611846,0.40436997459807167,0.4294888044606087,0.45258222403657544,0.45084368746269055,0.385550987024198,0.3444511342427994,0.44187467180912865,0.4085424789798773,0.4098859647838437
Cambodia,0.4265688665331215,0.40109242831072567,0.4332830705307704,0.4686781300382746,0.46583071254570985,0.4247595653686639,0.3550752852797323,0.43271940231878653,0.4083190591797012,0.4090502210112093
Cameroon,0.3961756264026499,0.38695923370150775,0.40435806606337016,0.4324754726758489,0.4254282530363102,0.38883117717066606,0.3645635417867481,0.4156954080730281,0.3841363939263625,0.3859745582268153
Canada,0.28459483414030623,0.28766297344486647,0.2906673154333,0.328834701105639,0.3145717300945005,0.3014500892604231,0.30068141061704134,0.31060984871818015,0.2886197537102081,0.30122838870069074
Cape Verde,0.38518659176082054,0.374483819162272,0.3941051248362247,0.4254064529466635,0.41049762706222637,0.3830650444637905,0.34107996377437816,0.40119666965648865,0.3724919348892603,0.36770722770045133
Central African Republic,0.41681314143227177,0.40110495892302417,0.4278079370325256,0.4514632326938672,0.44562957207237336,0.39185683151243866,0.34370877655417426,0.4331696721109412,0.4036080706919035,0.4084295474913111
Chad,0.4390267188201206,0.40922986976042675,0.44844948700698567,0.47788683727171577,0.4712911487415653,0.4318107295951763,0.3740248443575494,0.44820100494691495,0.4158025990981001,0.41810598536767735
Chile,0.4008350930822594,0.3755276190597694,0.40893172773722297,0.441811989430509,0.4524873619184342,0.39681204713901236,0.35186990750219205,0.40325060672355706,0.38859003345108006,0.3880093226682725
