File,GT,Gemini,GPT
AD,0.4229300320148468,0.43887215852737427,0.32103270292282104
AF,0.26283082365989685,0.3614720404148102,0.3827568292617798
AO,0.46219152212142944,0.5439635515213013,0.5476564764976501
AZE,0.398787260055542,0.48581036925315857,0.4302056133747101
BF,0.35022613406181335,0.40931665897369385,0.3968638479709625
BG,0.3292786478996277,0.26835131645202637,0.3795746862888336
BIH,0.4575022757053375,0.4373147189617157,0.485096275806427
BI,0.33123779296875,0.3897657096385956,0.33869031071662903
BJ,0.3711760342121124,0.43089625239372253,0.24335789680480957
BOL,0.510713517665863,0.5515282154083252,0.5457783937454224
BY,0.36980634927749634,0.54686439037323,0.5263455510139465
CF,0.4413089156150818,0.5593585968017578,0.33260953426361084
CG,0.36582961678504944,0.4412338435649872,0.3761681020259857
CI,0.4905270040035248,0.5426461100578308,0.5352587103843689
CL,0.38091015815734863,0.48858126997947693,0.467744916677475
CM,0.4145353436470032,0.498477965593338,0.4707719683647156
COD,0.34924083948135376,0.4148227572441101,0.32780659198760986
CO,0.3075486421585083,0.32784608006477356,0.3031230568885803
CR,0.5062986612319946,0.48694175481796265,0.541590690612793
CU,0.41565272212028503,0.4629267752170563,0.4586627781391144
CV,0.34868544340133667,0.4283909499645233,0.3371523916721344
CY,0.28776898980140686,0.27168238162994385,0.29999709129333496
CZ,0.35885247588157654,0.4947090744972229,0.451320618391037
DE,0.3819071054458618,0.3470571041107178,0.4725736081600189
DJ,0.3410978615283966,0.36627691984176636,0.3597443997859955
DK,0.35270848870277405,0.4028955101966858,0.3875153362751007
DO,0.44414350390434265,0.5762579441070557,0.5797557830810547
DZ,0.26172077655792236,0.30068239569664,0.2137942612171173
EC,0.33800527453422546,0.3607543706893921,0.32405415177345276
EE,0.40750986337661743,0.38702699542045593,0.46348240971565247
EG,0.3094824552536011,0.2839687168598175,0.3438814878463745
ES,0.39872464537620544,0.4518415629863739,0.582554817199707
ET,0.40224578976631165,0.5266156196594238,0.2544734477996826
FI,0.3859255611896515,0.3533981740474701,0.41808775067329407
FR,0.3368319571018219,0.40446922183036804,0.4028044044971466
GA,0.350544810295105,0.439881294965744,0.4084203541278839
GE,0.4826197028160095,0.5506938695907593,0.5464957356452942
GN,0.46309444308280945,0.46851634979248047,0.5002921223640442
GQ,0.373130738735199,0.40216535329818726,0.3508005738258362
GR,0.36445102095603943,0.43137553334236145,0.3857403099536896
GW,0.30319744348526,0.42359134554862976,0.20751476287841797
HN,0.40397927165031433,0.5281784534454346,0.4387224316596985
HR,0.3291017413139343,0.36493048071861267,0.4030262529850006
HU,0.33191829919815063,0.40881767868995667,0.4100692570209503
ID,0.33175334334373474,0.4323766529560089,0.36357611417770386
IL,0.45222577452659607,0.5136952996253967,0.5455694794654846
IQ,0.4192635715007782,0.5075846910476685,0.4603778123855591
IR,0.3200452923774719,0.5222300887107849,0.4750083088874817
IS,0.37047532200813293,0.3874392807483673,0.3744199573993683
IT,0.2714109718799591,0.32803666591644287,0.33722901344299316
JO,0.28798195719718933,0.3643387258052826,0.35358259081840515
KM,0.5253655910491943,0.607566237449646,0.5891504287719727
KR,0.6234874725341797,0.6347066760063171,0.5056047439575195
KW,0.2707999348640442,0.32748162746429443,0.25680452585220337
LA,0.26094549894332886,0.3642023205757141,0.28640469908714294
LB,0.39670804142951965,0.4311426877975464,0.3101644217967987
LI,0.3885035216808319,0.4211012125015259,0.3119713366031647
LT,0.335616797208786,0.5745139122009277,0.4002555012702942
LU,0.2769203782081604,0.3283483386039734,0.29014745354652405
LV,0.4164978563785553,0.4278879463672638,0.42614972591400146
LY,0.4285239279270172,0.5658924579620361,0.4629707634449005
MA,0.32445409893989563,0.3749186098575592,0.32870274782180786
MD,0.3749057352542877,0.3860161602497101,0.40311315655708313
ME,0.3951635956764221,0.46629592776298523,0.38685449957847595
MG,0.3109615743160248,0.4388337731361389,0.31686240434646606
ML,0.356916606426239,0.4655756652355194,0.40558478236198425
MR,0.46783146262168884,0.5599598288536072,0.26471129059791565
MV,0.0933137983083725,0.6724785566329956,
MX,0.3431065082550049,0.3690357804298401,0.35404375195503235
MZ,0.30981960892677307,0.3299667537212372,0.21992242336273193
NE,0.3280414044857025,0.3608470559120178,0.31521981954574585
NI,0.32974350452423096,0.5334032773971558,0.3569750189781189
NL,0.3411945402622223,0.2999442517757416,
OM,0.3003053367137909,0.3463551998138428,0.3230307996273041
PE,0.3852674067020416,0.4566355049610138,0.41161683201789856
PL,0.2916650176048279,0.37529686093330383,
PT,0.31665995717048645,0.36610838770866394,0.4191855490207672
PY,0.506974458694458,0.537178099155426,0.5554640889167786
RO,0.3306405246257782,0.49437108635902405,0.344575971364975
RS,0.3823573589324951,0.4418729245662689,0.41155943274497986
RU,0.34303906559944153,0.4963642358779907,0.5212053656578064
SA,0.38604918122291565,0.5100253224372864,0.4878895878791809
SD,0.3857667148113251,0.5137844085693359,0.4635830223560333
SI,0.3853134512901306,0.39270856976509094,0.4186323285102844
SK,0.44777101278305054,0.4272172152996063,0.5387536287307739
SM,0.37957051396369934,0.45797428488731384,0.39922165870666504
SN,0.4519856870174408,0.4392528831958771,0.49106520414352417
SO,0.2677730917930603,0.3178759515285492,0.4122066795825958
ST,0.34071511030197144,0.43250736594200134,0.38657644391059875
SV,0.354033887386322,0.43783560395240784,0.3817003071308136
SY,0.4419296681880951,0.44461244344711304,0.43012019991874695
TD,0.39785194396972656,0.40267321467399597,0.4371459186077118
TG,0.30144214630126953,0.40385064482688904,0.2948172390460968
TJ,0.4024539589881897,0.5512828230857849,0.482510507106781
TM,0.38947078585624695,0.42995432019233704,0.41244128346443176
TN,0.32761862874031067,0.42503535747528076,0.3951394259929657
TR,0.3361290991306305,0.44784149527549744,0.3383256494998932
UA,0.43936285376548767,0.40895581245422363,0.3809032142162323
UY,0.3994550406932831,0.5086061954498291,0.40342816710472107
UZ,0.3283623158931732,0.380622535943985,0.3719307482242584
VE,0.5196077227592468,0.5406044721603394,0.5700476169586182
VN,0.4708559811115265,0.5516165494918823,0.4907424747943878
YE,0.3632477819919586,0.4328947067260742,0.39860108494758606
